Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,187.15,188.44,183.89,185.64,185.40,82488700
2024-01-03,184.22,185.88,183.43,184.25,184.01,58414500
2024-01-04,182.15,183.09,180.88,181.91,181.67,71983600
2024-01-05,181.99,182.76,180.17,181.18,180.94,62303300
2024-01-08,182.09,185.60,181.50,185.56,185.32,59144500
2024-01-09,183.92,185.15,182.73,185.14,184.90,42841800
2024-01-10,184.35,186.40,183.92,186.19,185.95,46792900
2024-01-11,186.54,187.05,183.62,185.59,185.35,49128400
2024-01-12,186.06,186.74,185.19,185.92,185.68,40444700
2024-01-16,182.16,184.26,180.93,183.63,183.39,65603000
2024-01-17,181.27,182.93,180.30,182.68,182.44,47317400
2024-01-18,186.09,189.14,185.83,188.63,188.38,78005800
2024-01-19,189.33,191.95,188.82,191.56,191.31,68903000
2024-01-22,192.30,195.33,192.26,193.89,193.64,60133900
2024-01-23,195.02,195.75,193.83,195.18,194.92,42355600
2024-01-24,195.42,196.38,194.34,194.50,194.24,53631300
2024-01-25,195.22,196.27,193.11,194.17,193.91,54822100
2024-01-26,194.27,194.76,191.94,192.42,192.17,44594000
2024-01-29,192.01,192.20,189.58,191.73,191.48,47145600
2024-01-30,190.94,191.80,187.47,188.04,187.80,
2024-01-31,187.04,187.10,184.35,184.40,184.16,55467800
2024-02-01,183.99,186.95,183.82,186.86,186.62,64885400
2024-02-02,179.86,187.33,179.25,185.85,185.61,102518000
2024-02-05,188.15,189.25,185.84,187.68,187.44,69668800
2024-02-06,186.86,189.31,186.77,189.30,189.05,43490800
2024-02-07,190.64,191.05,188.61,189.41,189.16,53439000
2024-02-08,189.39,189.54,187.35,188.32,188.07,40962000
2024-02-09,188.65,189.99,188.00,188.85,188.60,45155200
2024-02-12,188.42,188.67,186.79,187.15,186.90,41781900
2024-02-13,185.77,186.21,183.51,185.04,184.80,56529500
2024-02-14,185.32,185.53,182.44,184.15,183.91,54630500
2024-02-15,183.55,184.49,181.35,183.86,183.62,65434500
2024-02-16,183.42,184.85,181.67,182.31,182.07,49701400
2024-02-20,181.79,182.43,180.00,181.56,181.32,53665600
2024-02-21,181.94,182.89,180.66,182.32,182.08,41529700
2024-02-22,183.48,184.96,182.46,184.37,184.13,52292200
2024-02-23,185.01,185.04,182.23,182.52,182.28,45119700
2024-02-26,182.24,182.76,180.65,181.16,180.92,40867400
2024-02-27,181.10,183.92,179.56,182.63,182.39,54318900
2024-02-28,182.51,183.12,180.13,181.42,181.18,48953900
2024-02-29,181.27,182.57,179.53,180.75,180.51,136682600
2024-03-01,179.55,180.53,177.38,179.66,179.42,73563000
2024-03-04,176.15,176.90,173.79,175.10,174.87,81510100
2024-03-05,170.76,172.04,169.62,170.12,169.90,95132400
2024-03-06,171.06,171.24,168.68,169.12,168.90,68587700
2024-03-07,169.15,170.73,168.49,169.00,168.78,71765100
2024-03-08,169.00,173.70,168.94,170.73,170.51,76267000
2024-03-11,172.94,174.38,172.05,172.75,172.52,60139500
2024-03-12,173.15,174.03,171.01,173.23,173.00,59825400
2024-03-13,172.77,173.19,170.76,171.13,170.90,52488700
2024-03-14,172.91,174.31,172.05,173.00,172.77,72913500
2024-03-15,171.17,172.62,170.29,172.62,172.39,121664700
2024-03-18,175.57,177.71,173.52,173.72,173.49,75604200
2024-03-19,174.34,176.61,173.03,176.08,175.85,55215200
2024-03-20,175.72,178.67,175.09,178.67,178.44,53423100
2024-03-21,177.05,177.49,170.84,171.37,171.14,106181300
2024-03-22,171.76,173.05,170.06,172.28,172.05,71106600
2024-03-25,170.57,171.94,169.45,170.85,170.62,54288300
2024-03-26,170.00,171.42,169.58,169.71,169.49,57388400
2024-03-27,170.41,173.60,170.11,173.31,173.08,60273300
