date,stock,Close
2024-01-11,AAPL,185.0
2024-01-12,AAPL,187.59
2024-02-01,AAPL,189.09
2024-03-04,AAPL,187.58
2024-05-02,AAPL,190.02
2024-06-10,AAPL,192.3
2024-08-20,AAPL,194.41
2024-10-10,AAPL,196.94
2024-10-28,AAPL,194.58
2024-01-31,AMZN,150.0
2024-02-01,AMZN,150.9
2024-02-02,AMZN,151.81
2024-03-06,AMZN,150.29
2024-07-18,AMZN,151.34
2024-07-25,AMZN,152.85
2024-03-13,GOOGL,140.0
2024-03-14,GOOGL,138.74
2024-04-25,GOOGL,139.71
2024-04-26,GOOGL,141.11
2024-04-29,GOOGL,142.52
2024-07-29,GOOGL,143.52
2024-08-22,GOOGL,144.52
2024-09-04,GOOGL,146.4
2024-10-29,GOOGL,147.72
2024-01-11,MSFT,380.0
2024-01-12,MSFT,385.32
2024-01-30,MSFT,388.4
2024-04-25,MSFT,392.29
2024-07-30,MSFT,395.42
2024-09-16,MSFT,398.59
2024-10-29,MSFT,400.58
2024-04-01,TSLA,240.0
2024-04-02,TSLA,237.36
2024-04-22,TSLA,233.8
2024-05-14,TSLA,231.46
2024-06-05,TSLA,229.15
2024-07-23,TSLA,231.21
2024-08-08,TSLA,233.29
2024-09-23,TSLA,235.86
2024-10-23,TSLA,238.21
